Threshold,Target,Model,Metrics,Accuracy
3dB,BCI,KNN,SignalDetected + DetectionPctVar + EarlyDetectionRatio,0.5238095238095238
3dB,ITR,KNN,SignalDetected + DetectionPctVar + EarlyDetectionRatio,0.09523809523809523
3dB,BCI,KNN,SignalDetected + DetectionPctVar + PowerSkewness,0.6190476190476191
3dB,ITR,KNN,SignalDetected + DetectionPctVar + PowerSkewness,0.5238095238095238
3dB,BCI,KNN,SignalDetected + DetectionPctVar + RobustnessIndex,0.7142857142857143
3dB,ITR,KNN,SignalDetected + DetectionPctVar + RobustnessIndex,0.47619047619047616
3dB,BCI,KNN,SignalDetected + DetectionPctVar + FreqEntropy,0.7619047619047619
3dB,ITR,KNN,SignalDetected + DetectionPctVar + FreqEntropy,0.5238095238095238
3dB,BCI,KNN,SignalDetected + DetectionPctVar + StrongResponses,0.6190476190476191
3dB,ITR,KNN,SignalDetected + DetectionPctVar + StrongResponses,0.23809523809523808
3dB,BCI,KNN,SignalDetected + EarlyDetectionRatio + PowerSkewness,0.38095238095238093
3dB,ITR,KNN,SignalDetected + EarlyDetectionRatio + PowerSkewness,0.3333333333333333
3dB,BCI,KNN,SignalDetected + EarlyDetectionRatio + RobustnessIndex,0.47619047619047616
3dB,ITR,KNN,SignalDetected + EarlyDetectionRatio + RobustnessIndex,0.38095238095238093
3dB,BCI,KNN,SignalDetected + EarlyDetectionRatio + FreqEntropy,0.5714285714285714
3dB,ITR,KNN,SignalDetected + EarlyDetectionRatio + FreqEntropy,0.38095238095238093
3dB,BCI,KNN,SignalDetected + EarlyDetectionRatio + StrongResponses,0.47619047619047616
3dB,ITR,KNN,SignalDetected + EarlyDetectionRatio + StrongResponses,0.38095238095238093
3dB,BCI,KNN,SignalDetected + PowerSkewness + RobustnessIndex,0.5238095238095238
3dB,ITR,KNN,SignalDetected + PowerSkewness + RobustnessIndex,0.47619047619047616
3dB,BCI,KNN,SignalDetected + PowerSkewness + FreqEntropy,0.6190476190476191
3dB,ITR,KNN,SignalDetected + PowerSkewness + FreqEntropy,0.38095238095238093
3dB,BCI,KNN,SignalDetected + PowerSkewness + StrongResponses,0.6190476190476191
3dB,ITR,KNN,SignalDetected + PowerSkewness + StrongResponses,0.47619047619047616
3dB,BCI,KNN,SignalDetected + RobustnessIndex + FreqEntropy,0.5238095238095238
3dB,ITR,KNN,SignalDetected + RobustnessIndex + FreqEntropy,0.5714285714285714
3dB,BCI,KNN,SignalDetected + RobustnessIndex + StrongResponses,0.5714285714285714
3dB,ITR,KNN,SignalDetected + RobustnessIndex + StrongResponses,0.3333333333333333
3dB,BCI,KNN,SignalDetected + FreqEntropy + StrongResponses,0.6190476190476191
3dB,ITR,KNN,SignalDetected + FreqEntropy + StrongResponses,0.42857142857142855
3dB,BCI,KNN,AvgPower + PowerVariability + DetectedTimePercentage,0.47619047619047616
3dB,ITR,KNN,AvgPower + PowerVariability + DetectedTimePercentage,0.2857142857142857
3dB,BCI,KNN,AvgPower + PowerVariability + DetectionTime,0.38095238095238093
3dB,ITR,KNN,AvgPower + PowerVariability + DetectionTime,0.2857142857142857
3dB,BCI,KNN,AvgPower + PowerVariability + DetectionRate,0.38095238095238093
3dB,ITR,KNN,AvgPower + PowerVariability + DetectionRate,0.42857142857142855
3dB,BCI,KNN,AvgPower + PowerVariability + DetectionPctVar,0.38095238095238093
3dB,ITR,KNN,AvgPower + PowerVariability + DetectionPctVar,0.2857142857142857
3dB,BCI,KNN,AvgPower + PowerVariability + EarlyDetectionRatio,0.42857142857142855
3dB,ITR,KNN,AvgPower + PowerVariability + EarlyDetectionRatio,0.3333333333333333
3dB,BCI,KNN,AvgPower + PowerVariability + PowerSkewness,0.5238095238095238
3dB,ITR,KNN,AvgPower + PowerVariability + PowerSkewness,0.38095238095238093
3dB,BCI,KNN,AvgPower + PowerVariability + RobustnessIndex,0.42857142857142855
3dB,ITR,KNN,AvgPower + PowerVariability + RobustnessIndex,0.2857142857142857
3dB,BCI,KNN,AvgPower + PowerVariability + FreqEntropy,0.5714285714285714
3dB,ITR,KNN,AvgPower + PowerVariability + FreqEntropy,0.38095238095238093
3dB,BCI,KNN,AvgPower + PowerVariability + StrongResponses,0.47619047619047616
3dB,ITR,KNN,AvgPower + PowerVariability + StrongResponses,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectedTimePercentage + DetectionTime,0.38095238095238093
3dB,ITR,KNN,AvgPower + DetectedTimePercentage + DetectionTime,0.19047619047619047
3dB,BCI,KNN,AvgPower + DetectedTimePercentage + DetectionRate,0.6666666666666666
3dB,ITR,KNN,AvgPower + DetectedTimePercentage + DetectionRate,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectedTimePercentage + DetectionPctVar,0.5714285714285714
3dB,ITR,KNN,AvgPower + DetectedTimePercentage + DetectionPctVar,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectedTimePercentage + EarlyDetectionRatio,0.47619047619047616
3dB,ITR,KNN,AvgPower + DetectedTimePercentage + EarlyDetectionRatio,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectedTimePercentage + PowerSkewness,0.5714285714285714
3dB,ITR,KNN,AvgPower + DetectedTimePercentage + PowerSkewness,0.2857142857142857
3dB,BCI,KNN,AvgPower + DetectedTimePercentage + RobustnessIndex,0.5238095238095238
3dB,ITR,KNN,AvgPower + DetectedTimePercentage + RobustnessIndex,0.23809523809523808
3dB,BCI,KNN,AvgPower + DetectedTimePercentage + FreqEntropy,0.7142857142857143
3dB,ITR,KNN,AvgPower + DetectedTimePercentage + FreqEntropy,0.42857142857142855
3dB,BCI,KNN,AvgPower + DetectedTimePercentage + StrongResponses,0.5238095238095238
3dB,ITR,KNN,AvgPower + DetectedTimePercentage + StrongResponses,0.14285714285714285
3dB,BCI,KNN,AvgPower + DetectionTime + DetectionRate,0.5238095238095238
3dB,ITR,KNN,AvgPower + DetectionTime + DetectionRate,0.38095238095238093
3dB,BCI,KNN,AvgPower + DetectionTime + DetectionPctVar,0.38095238095238093
